Trace
Swept SA
A.03.08,N9010A
1749957854.67134,-82.0690266375967
1749957904.67134,-82.0690266375967
1749957954.67134,-80.8740997022766
1749958004.67134,-82.0965487471213
1749958054.67134,-78.301528525352
1749958104.67134,-78.6753731233064
1749958154.67134,-82.5154992020753
1749958204.67134,-81.9795786088282
1749958254.67134,-79.3221470290308
1749958304.67134,-79.5079225783448
1749958354.67134,-77.6776890771214
1749958404.67134,-78.65090840742
1749958454.67134,-77.5492516382098
1749958504.67134,-78.9957015129837
1749958554.67134,-78.826745163455
1749958604.67134,-79.545382958446
1749958654.67134,-79.3634299254327
1749958704.67134,-81.5552756143969
1749958754.67134,-81.6730099083531
1749958804.67134,-86.7791620157352
1749958854.67134,-82.6469935119227
1749958904.67134,-86.4917066546822
1749958954.67134,-80.2877201767826
1749959004.67134,-79.7915540640708
