Trace
Swept SA
A.03.08,N9010A
1749962504.67134,-67.5942987254977
1749962554.67134,-63.0607633181928
1749962604.67134,-63.0798760173044
1749962654.67134,-63.1509751628678
1749962704.67134,-63.090578979314
1749962754.67134,-61.4736434113481
1749962804.67134,-62.3291283692851
1749962854.67134,-63.7786363302779
1749962904.67134,-66.0041204841504
1749962954.67134,-64.3741882849701
1749963004.67134,-65.6593269604247
1749963054.67134,-63.9896403852496
1749963104.67134,-65.523244332101
1749963154.67134,-65.1914475833328
1749963204.67134,-70.6500381032988
1749963254.67134,-64.885643979385
1749963304.67134,-65.1967989205944
1749963354.67134,-65.7250742198889
1749963404.67134,-68.5438168813975
1749963454.67134,-64.5393212818743
1749963504.67134,-64.0622679466795
1749963554.67134,-63.9667043727161
1749963604.67134,-63.5982111381585
1749963654.67134,-62.3490041786549
1749963704.67134,-63.4437803192103
1749963754.67134,-62.6012919402173
1749963804.67134,-63.9269495393566
1749963854.67134,-65.7480087165854
1749963904.67134,-72.8808727189065
1749963954.67134,-66.2938674758687
1749964004.67134,-64.9185166682528
1749964054.67134,-65.1096437769769
1749964104.67134,-63.0103033274735
1749964154.67134,-62.9835455173551
1749964204.67134,-65.1425173413712
1749964254.67134,-64.07832155337
1749964304.67134,-66.0354631106389
1749964354.67134,-65.595106156693
1749964404.67134,-65.1149947222117
1749964454.67134,-64.6409994340332
1749964504.67134,-69.4665769266251
1749964554.67134,-65.2273772738119
1749964604.67134,-66.6394243973388
1749964654.67134,-62.85969425384
1749964704.67134,-61.4124796484304
1749964754.67134,-61.3643156006713
1749964804.67134,-63.5401066767429
1749964854.67134,-63.5508096518201
1749964904.67134,-62.2863125356407
1749964954.67134,-62.0691921122177
1749965004.67134,-63.3719144306069
1749965054.67134,-61.6548282508221
1749965104.67134,-62.7633655833492
1749965154.67134,-61.6540637292674
1749965204.67134,-65.936840130633
1749965254.67134,-62.1693422144018
1749965304.67134,-63.708297759866
1749965354.67134,-63.0798716788743
1749965404.67134,-65.4941894160095
1749965454.67134,-61.6777628781942
1749965504.67134,-59.5715419568468
1749965554.67134,-59.5623678419332
1749965604.67134,-63.7404066458948
1749965654.67134,-63.9498818407029
1749965704.67134,-64.2480400722926
1749965754.67134,-63.5737434951385
1749965804.67134,-63.9330624710394
1749965854.67134,-63.0890449705316
1749965904.67134,-63.6058526425186
1749965954.67134,-66.2411133585801
1749966004.67134,-69.5177966561719
1749966054.67134,-62.3451778466265
1749966104.67134,-64.449869737932
1749966154.67134,-62.0997706091784
1749966204.67134,-65.5278265088239
1749966254.67134,-61.1196704280766
1749966304.67134,-59.9385047762011
1749966354.67134,-59.9385047762011
1749966404.67134,-66.5392708975891
1749966454.67134,-62.5439495697902
1749966504.67134,-63.5920905227501
1749966554.67134,-60.9820584299544
1749966604.67134,-61.6403001982023
1749966654.67134,-60.9247202803493
1749966704.67134,-67.1386451072309
1749966754.67134,-61.504981921555
1749966804.67134,-61.504981921555
1749966854.67134,-61.6013099256003
1749966904.67134,-63.0882788547345
1749966954.67134,-64.2358060678368
1749967004.67134,-69.8213049574699
1749967054.67134,-63.5576867391659
1749967104.67134,-65.0607103857333
1749967154.67134,-64.5591928442869
1749967204.67134,-66.587433730065
1749967254.67134,-60.5585196303888
1749967304.67134,-59.939267716581
1749967354.67134,-58.2940453999276
1749967404.67134,-59.7382018929832
1749967454.67134,-60.4614268173025
1749967504.67134,-60.2297806803532
1749967554.67134,-61.5531448455039
1749967604.67134,-65.4490799654307
1749967654.67134,-62.8849184341352
1749967704.67134,-68.4772979262879
1749967754.67134,-62.994242912584
1749967804.67134,-63.6295494392845
1749967854.67134,-61.4178262683027
1749967904.67134,-61.4277648655683
1749967954.67134,-59.1755227186315
1749968004.67134,-58.8184972289895
1749968054.67134,-61.4514643673193
1749968104.67134,-64.8397659301726
1749968154.67134,-60.5592827275794
1749968204.67134,-62.114293016612
1749968254.67134,-60.4553095602572
1749968304.67134,-60.2313083905714
1749968354.67134,-59.7855999033505
1749968404.67134,-62.1884499609079
1749968454.67134,-61.4392316173493
1749968504.67134,-60.7435287633518
1749968554.67134,-60.3628034583373
1749968604.67134,-60.4040869035768
1749968654.67134,-60.4981213037551
1749968704.67134,-60.4392541371757
1749968754.67134,-58.0570455082179
1749968804.67134,-58.922469141826
1749968854.67134,-58.1380833947901
1749968904.67134,-66.6378885983006
1749968954.67134,-60.6319097793745
1749969004.67134,-62.6379800758355
1749969054.67134,-59.5669494306159
1749969104.67134,-62.1280526927466
1749969154.67134,-60.8146270333886
1749969204.67134,-60.5057655653705
1749969254.67134,-60.099046893387
1749969304.67134,-61.5730192827799
1749969354.67134,-59.7764242856675
1749969404.67134,-61.1028463540912
1749969454.67134,-59.7213793871051
1749969504.67134,-60.3459827819178
1749969554.67134,-59.7527242220114
1749969604.67134,-64.9360916343272
1749969654.67134,-61.8291289987379
1749969704.67134,-63.244234169281
1749969754.67134,-61.611243910017
1749969804.67134,-65.3382227326853
1749969854.67134,-61.969033855876
1749969904.67134,-63.7151711229571
1749969954.67134,-60.9598823914645
1749970004.67134,-60.9407696662178
1749970054.67134,-61.5156798917565
1749970104.67134,-62.8138152376281
1749970154.67134,-61.1785315051728
1749970204.67134,-61.1800605090795
1749970254.67134,-62.4132125290014
1749970304.67134,-64.3527705086735
1749970354.67134,-63.1555501001622
1749970404.67134,-64.7610178840099
1749970454.67134,-61.1785310608757
1749970504.67134,-63.8107336907183
1749970554.67134,-59.7053229970242
1749970604.67134,-60.9040722526316
1749970654.67134,-60.0233585015505
1749970704.67134,-61.2129335246363
1749970754.67134,-60.4270186822207
1749970804.67134,-62.3734572513449
1749970854.67134,-60.0386482269968
1749970904.67134,-59.2359142632013
1749970954.67134,-59.2359142501337
1749971004.67134,-62.830633078387
1749971054.67134,-63.4720555945795
1749971104.67134,-65.3328692000734
1749971154.67134,-66.1172548033662
1749971204.67134,-69.0781960957581
1749971254.67134,-61.479746111131
1749971304.67134,-62.2970056185745
1749971354.67134,-61.2886189109339
1749971404.67134,-66.0606807702215
1749971454.67134,-64.3887006695848
1749971504.67134,-63.3803138312685
1749971554.67134,-60.754227099445
1749971604.67134,-60.6571345085072
1749971654.67134,-62.7534166365756
1749971704.67134,-62.7541811319952
1749971754.67134,-61.5172062560161
1749971804.67134,-61.5164417344613
1749971854.67134,-65.1210990685073
1749971904.67134,-67.8794456510027
1749971954.67134,-63.0760387085252
1749972004.67134,-64.6203458787374
1749972054.67134,-61.9804980202799
1749972104.67134,-64.825998491907
1749972154.67134,-62.374219708225
1749972204.67134,-64.2243301295608
1749972254.67134,-62.2343144067898
1749972304.67134,-63.2908650837842
1749972354.67134,-62.1150509390486
1749972404.67134,-64.2159202356481
1749972454.67134,-63.8986490958658
1749972504.67134,-66.0163375661153
1749972554.67134,-64.2617904704593
1749972604.67134,-68.6676528297318
